,BeanOrigin,Rating,CocoaPercent,BeanType,Australia,Belize,Bolivia,Brazil,Cameroon,Colombia,Congo,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Fiji,Gabon,Ghana,Grenada,Guatemala,Haiti,Honduras,India,Indonesia,Jamaica,Liberia,Madagascar,Malaysia,Martinique,Mexico,Nicaragua,Nigeria,Panama,Papua New Guinea,Peru,Philippines,Puerto Rico,Samoa,Sao Tome,Sao Tome & Principe,Solomon Islands,Sri Lanka,Suriname,Tanzania,Tobago,Togo,Trinidad,Uganda,Vanuatu,Venezuela,Vietnam
0,Sao Tome,3.75,63%,U,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,1,0.7,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49
1,Togo,2.75,70%,U,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.7,0.49,1,0.49,0.7,0.49,0.49,0.49
2,Togo,3,70%,U,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.7,0.49,1,0.49,0.7,0.49,0.49,0.49
3,Togo,3.5,70%,U,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.7,0.49,1,0.49,0.7,0.49,0.49,0.49
4,Peru,3.5,70%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,1,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
5,Venezuela,2.75,70%,Criollo,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,1,0.49
6,Cuba,3.5,70%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,1,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
7,Venezuela,3.5,70%,Criollo,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,1,0.49
8,Venezuela,3.75,70%,Criollo,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,1,0.49
9,Peru,4,70%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,1,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
10,Panama,2.75,70%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,1,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
11,Madagascar,3,70%,Criollo,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.7,1,0.49,0.49,0.49,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.49,0.7,0.7,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49
12,Brazil,3.25,70%,U,0.49,0.7,0.7,1,0.49,0.7,0.49,0.7,0.7,0.7,0.7,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
13,Ecuador,3.75,70%,U,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.7,0.7,1,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.7,0.49,0.49,0.7,0.49,0.49,0.49,0.7,0.7,0.7,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.49,0.49,0.49,0.7,0.49,0.7,0.49,0.7,0.49,0.49,0.7,0.49
